"","lon","lat","species"
"477",-115.537222,35.461111,"Ephedra viridis"
"485",-115.436944,35.607778,"Ephedra funerea"
"486",-116.40148,33.63897,"Ephedra aspera"
"487",-116.57472,34.00528,"Ephedra californica"
"488",-115.43694,35.60778,"Ephedra funerea"
"489",-115.87972,33.1275,"Ephedra trifurca"
"490",-116.45639,34.135,"Ephedra californica"
"491",-115.72167,34.2375,"Ephedra californica"
"493",-115.29633,32.97462,"Ephedra trifurca"
"495",-115.40583,35.61778,"Ephedra funerea"
"497",-115.52889,35.46472,"Ephedra nevadensis"
"500",-115.51338,35.36913,"Ephedra nevadensis"
"501",-115.52917,35.46222,"Ephedra viridis"
"502",-115.71833,34.25583,"Ephedra aspera"
"504",-116.143358,34.0271299991246,"Ephedra viridis"
"506",-115.72083,34.20222,"Ephedra californica"
"507",-115.5275,35.45639,"Ephedra viridis"
"509",-115.66667,34.45667,"Ephedra californica"
"531",-114.850921,34.051267,"Ephedra trifurca"
"532",-116.66526,33.9532899991255,"Ephedra californica"
"534",-109.10027,31.77111,"Ephedra trifurcata"
"535",-116.66525,33.95328,"Ephedra californica"
"537",-114.50069,34.04187,"Ephedra fasciculata"
"539",-115.67422,34.62067,"Ephedra californica"
"540",-114.75944,34.82306,"Ephedra nevadensis"
"542",-103.050637,29.512454,"Ephedra antisyphilitica"
"543",-116.558056,34.050556,"Ephedra californica"
"545",-115.46342,35.41112,"Ephedra viridis"
"546",-116.65161,33.97538,"Ephedra californica"
"547",-118.93669,34.82511,"Ephedra viridis"
"548",-115.659722,34.784444,"Ephedra viridis"
"549",-115.658611,34.784722,"Ephedra nevadensis"
"550",-115.5466,34.80765,"Ephedra californica"
"551",-118.936694,34.825111,"Ephedra viridis"
"552",-116.69098,34.02559,"Ephedra californica"
"553",-116.668175,34.01961,"Ephedra californica"
"554",-119.73147,35.19956,"Ephedra californica"
"555",-114.4139,34.3363,"Ephedra fasciculata"
"556",-108.1771,38.729091,"Ephedra torreyana"
"557",-111.085,32.3872,"Ephedra aspera"
"560",-116.7139,34.0436999991244,"Ephedra trifurca"
"561",-116.65146,33.97288,"Ephedra californica"
"563",-116.641111,33.942222,"Ephedra californica"
"564",-111.085,32.3872,"Ephedra trifurca"
"565",-115.77207,34.87182,"Ephedra californica"
"566",-114.413889,34.502778,"Ephedra fasciculata"
"567",-115.72243,34.23915,"Ephedra nevadensis"
"572",-116.68032,34.02539,"Ephedra californica"
"574",-115.658611,34.784722,"Ephedra californica"
"575",-116.65161,33.97539,"Ephedra californica"
"577",-115.538747,34.0480429991243,"Ephedra nevadensis"
"578",-115.171615,33.0285109991374,"Ephedra trifurca"
"579",-116.365,34.83222,"Ephedra funerea"
"580",-116.55797,34.05047,"Ephedra californica"
"581",-116.55796,34.0504599991243,"Ephedra californica"
"582",-118.13556,34.48472,"Ephedra nevadensis"
"583",-116.24548,34.0025559991249,"Ephedra viridis"
"585",-98.225101,30.91333,"Ephedra antisyphilitica"
"586",-115.56572,35.4937,"Ephedra viridis"
"587",-115.626944,35.514444,"Ephedra viridis"
"588",-117.226667,34.413333,"Ephedra nevadensis"
"592",-115.46722,35.58672,"Ephedra funerea"
"593",-115.532222,35.378889,"Ephedra viridis"
"594",-119.40217,34.93626,"Ephedra viridis"
"597",-115.464444,35.113889,"Ephedra nevadensis"
"598",-115.46644,35.56975,"Ephedra nevadensis"
"599",-115.362222,35.079167,"Ephedra nevadensis"
"601",-115.53353,35.4348,"Ephedra viridis"
"602",-115.640833,35.476111,"Ephedra nevadensis"
"603",-115.467222,35.586722,"Ephedra funerea"
"604",-118.01944,34.50611,"Ephedra nevadensis"
"607",-118.569722,37.329444,"Ephedra nevadensis"
"608",-116.42242,32.60193,"Ephedra californica"
"610",-116.4225,32.601944,"Ephedra californica"
"611",-119.038444,34.734001,"Ephedra viridis"
"612",-116.40369,32.619,"Ephedra californica"
"614",-109.1106,40.2397,"Ephedra cutleri"
"619",-115.373056,35.222222,"Ephedra nevadensis"
"621",-116.8075,34.224722,"Ephedra viridis"
"622",-116.40365,32.61903,"Ephedra californica"
"625",-116.8675,34.3425,"Ephedra viridis"
"630",-115.58432,35.51978,"Ephedra viridis"
"645",-112.075266,36.101422,"Ephedra viridis"
"664",-115.170833,32.976944,"Ephedra trifurca"
"665",-116.33194,34.82778,"Ephedra nevadensis"
"670",-116.23448,34.84245,"Ephedra californica"
"671",-116.29611,34.84611,"Ephedra funerea"
"676",-116.02028,34.66361,"Ephedra californica"
"679",-114.17402,34.25357,"Ephedra trifurca"
"680",-116.32167,34.83278,"Ephedra nevadensis"
"682",-116.28333,34.83333,"Ephedra californica"
"683",-116.020278,34.663611,"Ephedra californica"
"684",-116.335,34.82958,"Ephedra nevadensis"
"687",-114.9388,34.01047,"Ephedra californica"
"688",-116.23333,34.82917,"Ephedra californica"
"689",-115.03475,34.07324,"Ephedra trifurca"
"690",-114.9388,34.01047,"Ephedra trifurca"
"691",-118.691111,34.889806,"Ephedra viridis"
"692",-119.4331,34.9084,"Ephedra viridis"
"693",-116.335,33.829583,"Ephedra nevadensis"
"694",-118.72403,34.84767,"Ephedra viridis"
"696",-116.10739,32.64,"Ephedra californica"
"698",-118.60817,34.85108,"Ephedra nevadensis"
"699",-119.385278,34.915833,"Ephedra viridis"
"701",-115.513889,35.356389,"Ephedra viridis"
"702",-116.33308,33.04689,"Ephedra aspera"
"703",-119.39508,34.90172,"Ephedra viridis"
"704",-116.309541,34.0093449991248,"Ephedra nevadensis"
"708",-116.88378,34.1831299991227,"Ephedra viridis"
"709",-116.8645,34.18442,"Ephedra viridis"
"714",-116.384167,35.035833,"Ephedra californica"
"715",-118.3925,35.02472,"Ephedra viridis"
"716",-118.3925,35.024722,"Ephedra viridis"
"719",-109.79704,38.56168,"Ephedra viridis"
"735",-115.82972,35.09083,"Ephedra californica"
"736",-116.31222,33.13194,"Ephedra californica"
"738",-114.372778,36.602222,"Ephedra funerea"
"740",-114.66285,36.704233,"Ephedra torreyana"
"741",-113.867089,36.9728899990931,"Ephedra fasciculata"
"742",-115.49861,35.52333,"Ephedra nevadensis"
"745",-114.4075,36.603611,"Ephedra nevadensis"
"746",-116.607222,35.074167,"Ephedra funerea"
"747",-118.111656,35.1404579991116,"Ephedra nevadensis"
"748",-116.43028,33.04944,"Ephedra aspera"
"753",-116.2873,32.85393,"Ephedra aspera"
"756",-114.465278,36.606111,"Ephedra torreyana"
"758",-116.62861,35.06771,"Ephedra funerea"
"759",-116.49222,34.69028,"Ephedra nevadensis"
"760",-116.12778,33.34944,"Ephedra aspera"
"761",-119.779722,34.833333,"Ephedra viridis"
"762",-116.42194,33.27083,"Ephedra aspera"
"764",-117.180556,35.1633329991113,"Ephedra nevadensis"
"765",-117.293056,35.373332999109,"Ephedra nevadensis"
"766",-116.3361,32.81918,"Ephedra californica"
"768",-115.40694,35.61861,"Ephedra funerea"
"770",-115.480278,35.600556,"Ephedra funerea"
"771",-118.45,37.3497219990898,"Ephedra nevadensis"
"772",-116.43485,33.04607,"Ephedra aspera"
"773",-115.48028,35.60056,"Ephedra funerea"
"776",-116.435,33.046111,"Ephedra aspera"
"777",-116.43489,33.04611,"Ephedra aspera"
"778",-115.406944,35.618611,"Ephedra funerea"
"779",-115.70664,34.23506,"Ephedra aspera"
